,Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,Unnamed: 25,innings played.1,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls,Retained,matches_bat_ipl,total_runs_scored_ipl,balls_faced_ipl,batting_avg_ipl,highest_score_ipl,strike_rate_ipl,centuries_ipl,half_centuries_ipl,fours_ipl,sixes_ipl,matches_bowl_ipl,balls_bowled_ipl,total_runs_given_ipl,wickets_taken_ipl,bowling_avg_ipl,economy_ipl,3wickets_ipl
0,1.0,0.0,0.0,1,Aiden Blizzard,Australia,Mumbai Indians,20000.0,40.0,40.0,3.0,817.0,89,0.0,1.0,22.08,542.0,150.73,0.0,2.0,115.0,27.0,0.375,15.0,0.0,,1,0.0,6,10,0.0,0,-,0.0,10,-,0,0,0,0,,,,,,,,,,,,,,,,,
1,2.0,0.0,0.0,1,Jonathan Vandiar,South Africa,Royal Challengers Bangalore,20000.0,18.0,18.0,1.0,356.0,71,0.0,1.0,20.94,298.0,119.46,0.0,3.0,29.0,14.0,0.1111111111111111,2.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,,,,,,,,,,,,,,,,,
2,3.0,0.0,0.0,1,Nathan Rimmington,Australia,Kings XI Punjab,20000.0,23.0,8.0,5.0,33.0,24*,0.0,0.0,11.0,25.0,132.0,0.0,0.0,3.0,1.0,0.30434782608695654,7.0,0.0,,22,1.0,466,563,0.0,31,2027-05-01 00:00:00,18.16,7.24,15,0,1,0,0,,,,,,,,,,,,,,,,,
3,4.0,0.0,0.0,1,Rilee Rossouw,South Africa,Royal Challengers Bangalore,20000.0,20.0,20.0,0.0,343.0,65,0.0,1.0,17.15,307.0,111.72,0.0,1.0,32.0,11.0,0.4,8.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,,,,,,,,,,,,,,,,,
4,5.0,0.0,0.0,1,Robert Frylinck,South Africa,Delhi Daredevils,20000.0,25.0,22.0,8.0,213.0,32*,0.0,0.0,15.21,129.0,165.11,0.0,0.0,17.0,14.0,0.36,9.0,0.0,,23,1.0,498,623,0.0,26,1931-04-01 00:00:00,23.96,7.5,19.1,1,0,0,0,,,,,,,,,,,,,,,,,
5,6.0,0.0,0.0,1,Travis Birt,Australia,Delhi Daredevils,20000.0,45.0,43.0,3.0,820.0,58,0.0,1.0,20.5,626.0,130.99,0.0,2.0,69.0,33.0,0.4,18.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,,,,,,,,,,,,,,,,,
6,7.0,0.0,0.0,1,George Bailey,Australia,Chennai Super Kings,50000.0,32.0,28.0,4.0,714.0,60,0.0,1.0,29.75,521.0,137.04,0.0,5.0,59.0,26.0,0.28125,9.0,0.0,,1,0.0,12,24,0.0,0,-,0.0,12,-,0,0,0,0,1.0,18.0,27.0,18.0,18.0,66.66666666666666,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0
7,8.0,0.0,0.0,1,Johan van der Wath,South Africa,Royal Challengers Bangalore,50000.0,78.0,57.0,18.0,672.0,48*,0.0,1.0,17.23,510.0,131.76,0.0,0.0,40.0,37.0,0.08974358974358974,7.0,0.0,,74,1.0,1555,1984,0.0,78,2011-05-03 00:00:00,25.43,7.65,19.9,0,0,0,0,,,,,,,,,,,,,,,,,
8,9.0,0.0,0.0,1,Luke Pomersbasch,Australia,Royal Challengers Bangalore,50000.0,35.0,33.0,5.0,623.0,79*,0.0,1.0,22.25,480.0,129.79,0.0,2.0,51.0,30.0,0.45714285714285713,16.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,,,,,,,,,,,,,,,,,
9,10.0,0.0,0.0,1,Moises Henriques,Australia,Mumbai Indians,50000.0,40.0,35.0,5.0,549.0,51*,0.0,1.0,18.3,457.0,120.13,0.0,1.0,46.0,10.0,0.575,23.0,0.0,,36,1.0,645,914,0.0,31,2011-11-03 00:00:00,29.48,8.5,20.8,0,0,0,0,1.0,11.0,5.0,11.0,11.0,220.00000000000003,0.0,0.0,2.0,0.0,1.0,24.0,35.0,1.0,35.0,8.75,0.0
10,11.0,0.0,0.0,1,Roelof van der Merwe,South Africa,Delhi Daredevils,50000.0,59.0,41.0,11.0,721.0,89*,0.0,1.0,24.03,538.0,134.01,0.0,5.0,58.0,38.0,0.4406779661016949,26.0,0.0,,59,1.0,1200,1441,0.0,65,2018-03-01 00:00:00,22.16,7.2,18.4,0,0,0,0,1.0,1.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,1.0,27.0,24.0,2.0,24.0,5.333333333333333,0.0
11,12.0,0.0,0.0,1,Michael Klinger,Australia,Kochi,75000.0,30.0,29.0,4.0,690.0,78,0.0,1.0,27.6,549.0,125.68,0.0,4.0,64.0,20.0,0.3,9.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,,,,,,,,,,,,,,,,,
12,13.0,0.0,0.0,1,Andrew McDonald,Australia,Delhi Daredevils,80000.0,62.0,55.0,21.0,1267.0,96*,0.0,1.0,37.26,1004.0,126.19,0.0,8.0,96.0,27.0,0.4032258064516129,25.0,0.0,,57,1.0,1076,1388,0.0,62,2013-05-01 00:00:00,22.38,7.73,17.3,1,1,0,0,3.0,65.0,54.0,21.666666666666668,33.0,130.19286567673666,0.0,0.0,3.0,2.0,4.0,85.0,137.0,8.0,34.25,9.535,2.0
13,14.0,0.0,0.0,1,Michael Lumb,England,Deccan Chargers,80000.0,103.0,103.0,6.0,2161.0,124*,0.0,1.0,22.27,1511.0,143.01,1.0,12.0,285.0,71.0,0.32038834951456313,33.0,0.0,,3,0.0,36,65,0.0,3,1932-03-01 00:00:00,21.66,10.83,12,0,0,0,0,11.0,278.0,196.0,25.272727272727273,83.0,111.60381062787481,0.0,1.0,45.0,6.0,0.0,0.0,0.0,0.0,,,0.0
14,15.0,0.0,0.0,1,Suraj Randiv,Sri Lanka,Chennai Super Kings,80000.0,29.0,8.0,1.0,43.0,20,0.0,0.0,6.14,34.0,126.47,0.0,0.0,2.0,2.0,0.3448275862068966,10.0,0.0,,27,1.0,538,644,0.0,27,2020-03-01 00:00:00,23.85,7.18,19.9,0,0,0,0,,,,,,,,,,,,,,,,,
15,16.0,0.0,0.0,1,Thisara Perera,Sri Lanka,Kochi,80000.0,40.0,30.0,10.0,209.0,24,0.0,0.0,10.45,176.0,118.75,0.0,0.0,16.0,10.0,0.35,14.0,0.0,,39,1.0,689,843,0.0,38,2017-03-01 00:00:00,22.18,7.34,18.1,0,0,0,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,6.0,19.0,0.0,19.0,19.0,0.0
16,17.0,0.0,0.0,1,Rusty Theron,South Africa,Deccan Chargers,85000.0,50.0,18.0,9.0,71.0,24*,0.0,0.0,7.88,70.0,101.42,0.0,0.0,4.0,1.0,0.34,17.0,0.0,,50,1.0,1098,1280,0.0,58,2027-04-01 00:00:00,22.06,6.99,18.9,1,0,0,0,,,,,,,,,,,,,,,,,
17,18.0,0.0,0.0,1,Alfonso Thomas,South Africa,Pune Warriors,100000.0,104.0,33.0,19.0,173.0,30*,0.0,0.0,12.35,158.0,109.49,0.0,0.0,19.0,2.0,0.2980769230769231,31.0,0.0,,98,1.0,2049,2481,1.0,125,2027-04-01 00:00:00,19.84,7.26,16.3,1,0,0,0,,,,,,,,,,,,,,,,,
18,19.0,0.0,0.0,1,Ben Hilfenhaus,Australia,Chennai Super Kings,100000.0,21.0,9.0,4.0,28.0,7*,0.0,0.0,5.6,43.0,65.11,0.0,0.0,0.0,1.0,0.09523809523809523,2.0,0.0,,21,1.0,439,519,0.0,25,2017-03-01 00:00:00,20.76,7.09,17.5,0,0,0,0,,,,,,,,,,,,,,,,,
19,20.0,0.0,0.0,1,Colin Ingram,South Africa,Delhi Daredevils,100000.0,32.0,31.0,4.0,686.0,84,0.0,1.0,25.4,570.0,120.35,0.0,4.0,59.0,26.0,0.25,8.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,,,,,,,,,,,,,,,,,
20,21.0,0.0,0.0,1,Dimitri Mascarenhas,England,Kings XI Punjab,100000.0,81.0,71.0,20.0,1045.0,57*,0.0,1.0,20.49,829.0,126.05,0.0,3.0,70.0,38.0,0.2716049382716049,22.0,0.0,,79,1.0,1609,1883,1.0,101,2014-05-01 00:00:00,18.64,7.02,15.9,1,1,0,0,2.0,12.0,11.0,6.0,9.0,106.25,0.0,0.0,0.0,0.0,2.0,48.0,65.0,4.0,32.5,8.125,0.0
21,22.0,0.0,0.0,1,James Franklin,New Zealand,Mumbai Indians,100000.0,72.0,64.0,17.0,1531.0,90,1.0,1.0,32.57,1187.0,128.98,0.0,6.0,109.0,55.0,0.2777777777777778,20.0,0.0,,61,1.0,1074,1473,0.0,40,2023-03-01 00:00:00,36.82,8.22,26.8,0,0,0,0,,,,,,,,,,,,,,,,,
22,23.0,0.0,0.0,1,Jerome Taylor,West Indies,Pune Warriors,100000.0,35.0,15.0,7.0,70.0,16*,0.0,0.0,8.75,53.0,132.07,0.0,0.0,4.0,3.0,0.2,7.0,0.0,,35,1.0,751,941,0.0,49,2011-10-05 00:00:00,19.2,7.51,15.3,0,1,0,0,,,,,,,,,,,,,,,,,
